"'1','2014-01-01','What's Missing in My Byline?'"
"'2','2014-01-01','Colorado Stores Selling Marijuana Open Their Doors'"
"'2','2014-01-01','Markets Buoyant, Merger Activity Picks Up'"
"'3','2014-01-01','A Stock Exchange Expands Its Global Reach'"
"'4','2014-01-01','Young Poet Speaks at Inauguration'"
"'4','2014-01-01','The Inaugural Address of Bill de Blasio'"
"'5','2014-01-01','Highlights From the de Blasio Inauguration'"
"'6','2014-01-01','After Leukemia, New Year's Lipstick-Marked Beginnings'"
"'6','2014-01-01','Daily Report: Judge Upholds Searches of Travelers' Devices at Border'"
"'6','2014-01-01','The Best Small-Business Posts of 2013'"
"'6','2014-01-01','Cuomo Issues Pardons for First Time in Office'"
"'6','2014-01-01','U.S. Solar Panel Maker Seeks to Close Loophole in Duties on Chinese Products'"
"'6','2014-01-01','U.S. Solar Panel Maker Seeks to Close Loophole in Duties on Chinese Products'"
"'6','2014-01-01','House Prices Rise Again, but the Pace Could Slow'"
"'6','2014-01-01','Bliss Must Be Just Around the Corner'"
"'6','2014-01-01','Chinese Businessman Seeking Stake in Times Co.'"
"'6','2014-01-01','Global Optimism for 2014, With an Eye on Dormant Risks'"
"'6','2014-01-01','Farro and Swiss Chard Salad With Grapefruit Vinaigrette'"
"'6','2014-01-02','From Chicago to Boston, Winter Storm Creates Havoc for Travelers'"
"'7','2014-01-02','Shingles Can Increase Heart Attack Risk'"
"'8','2014-01-02','Bruno Mars Tops Illegal Download Chart'"
"'9','2014-01-02','Michael Counts to Join 3-Legged Dog Theater Company'"
"'9','2014-01-02','Missing a Cancer Diagnosis'"
"'10','2014-01-02','Tribalism, Biology, and Macroeconomics'"
"'11','2014-01-02','Repsol Completes Sale of Natural Gas Assets to Shell'"
"'12','2014-01-02','An Inaugural Pageantry, With Verse, Song and Surprise Meetings'"
"'12','2014-01-02','At Inauguration, Seeing Another Sign of Change in What the First Family Wore'"
"'12','2014-01-02','Health Law Challenge Opens Up New Front'"
"'12','2014-01-02','A Business Owner Seeks an Alternative to Seven-Day Workweeks'"
"'12','2014-01-02','Hawaii Tourists Revel in Sun, Surf and Semiautomatics'"
"'12','2014-01-02','Resolve to Pay Attention to Resolution Reminders'"
"'12','2014-01-02','Removing Edits in a Document, and Minimizing a Bar of Icons'"
"'12','2014-01-02','Vote on New Boeing Contract Highlights a Rift in the Machinists&#8217; Union'"
"'12','2014-01-02','E.U. Labor Market Opens for Romanians and Bulgarians'"
"'12','2014-01-03','Inside the Tale of North Korea Execution by Ravenous Dog '"
"'13','2014-01-03','Writers Guild Unveils Picks for Screenplay Categories'"
"'14','2014-01-03','Food, Genes and the Feeling of Risk'"
"'14','2014-01-03','A Killer Whale, a Dogged Filmmaker'"
"'14','2014-01-03','A Well-Trained Guide Dog'"
"'14','2014-01-03','Gensler Bids Farewell to Trading Commission'"
"'14','2014-01-03','Police Raid 'Fortress' of Drug Production in South China'"
"'14','2014-01-03','Support for Gay Rights Led to Harassment, Ex-Viking Says'"
