"Date","Direction","Headline"
"2008-12-01","0"," Bolshoi Reopening Delayed Again"
"2008-12-01","0"," Open Your Ears, Cover Your Eyes: Jesus Lizard Reunites"
"2008-12-01","0"," The Longest Recession Since ..."
"2008-12-01","0"," Launch Party Is Over for Nissan GT-R"
"2008-12-01","0"," Price Tags on Partridges and Pear Trees: A Different C.P.I."
"2008-12-01","0"," If Apple Is Mapple, What Happens to Snapple?"
"2008-12-01","0"," Pilgrim's Pride Files for Bankruptcy"
"2008-12-01","0"," December 2007: The Date the Recession (Officially) Began"
"2008-12-01","0"," It's a Recession"
"2008-12-01","0"," A.M. EDITION: Colleges' 'Unsustainable' High Prices"
"2008-12-01","0"," Business Tax Refunds Worry Budget Officials"
"2008-12-01","0"," Bankruptcy Lawyer Leaves Goldman for Law Firm"
"2008-12-01","0"," Giants Open Thread: Put Yourself in Pierce's Shoes"
"2008-12-01","0"," Global Stocks Trim Gains"
"2008-12-01","0"," Doris Dungey, Prescient Finance Blogger, Dies at 47"
"2008-12-01","0"," A Microsoft Veteran Embraces Open Source"
"2008-12-01","0"," Microsoft -Yahoo Deal ""Total Fiction,"" Report Says"
"2008-12-01","0"," E.U. Said to Block French Bank Bailout Plan"
"2008-12-01","0"," A novel way to prevent financial crises"
"2008-12-01","0"," Analysis: 'They Will Not Leave'"
"2008-12-01","0"," Jets Open Thread:  Playoff Possibilities and Desperate Football"
"2008-12-01","0"," A Bailout Foretold"
"2008-12-01","0"," Bankruptcy Lawyer Leaves Goldman for Law Firm"
"2008-12-01","0"," Swiss Vote to Keep Program Giving Addicts Heroin"
"2008-12-01","0"," Unhappiness After Stream in Montana Is Open to All"
"2008-12-01","0"," Doris Dungey, Prescient Finance Blogger, Dies at 47"
"2008-12-01","0"," Security Issues Shut Down Downtown Copter Shuttle"
"2008-12-01","0"," New York Pays Back $800 Million in Business Tax"
"2008-12-01","0"," Hoping to Draw Market Share With Touch Screens"
"2008-12-01","0"," OPEC Ends Meeting With No Plan to Prop Up Prices"
"2008-12-01","0"," TODAY IN BUSINESS"
"2008-12-02","1"," Broadway’s ‘Boeing-Boeing’ to Close"
"2008-12-02","1"," San Jose Theater on Edge of Bankruptcy"
"2008-12-02","1"," La Scala Strike Resolved, Clearing Way for Opening"
"2008-12-02","1"," L.A. Dispatch: Polanski Asks Court to Dismiss Child-Sex Charge"
"2008-12-02","1"," The Market of San Cristóbal de las Casas"
"2008-12-02","1"," Frenemies: Icahn Sues Leon Black's Realogy"
"2008-12-02","1"," Saluting Achievement in Business Reporting"
"2008-12-02","1"," Making of the Minimalist"
"2008-12-02","1"," A Post-Bailout Roundup"
"2008-12-02","1"," L.A. Dispatch: And the Spirit Nominees Are..."
"2008-12-02","1"," A Malpractice Case Against Dr Pepper"
"2008-12-02","1"," Flat-Panel TV Prices Plummet"
"2008-12-02","1"," L.A. Dispatch: Dogs (and Clint) for Troubled Times"
"2008-12-02","1"," Bottled Water Purchases, Retirement's Price and Medical Rules of Conscience "
"2008-12-02","1"," A.M. EDITION: Lehman's Demise: a Question of Class"
